meta_object$subgroup.levels,studies,event,patient_sum,PointEst.fix,lower.fix,upper.fix,PointEst.ran,lower.ran,upper.ran,p.ran
above median FU for LBCL,11,95,1377,0.06899055921557014,0.05674857224945958,0.08363925733408858,0.05940088477034708,0.039002809582688876,0.08947370349556397,0.9273048465437616
below median FU for LBCL,15,230,3004,0.07656458056042502,0.06758114389041425,0.08663122001377195,0.05803239680031047,0.04382516540578044,0.07647695130356091,0.9273048465437616
