meta_object$subgroup.levels,studies,event,patient_sum,PointEst.fix,lower.fix,upper.fix,PointEst.ran,lower.ran,upper.ran,p.ran
Ide-cel,8,46,726,0.06336088154269973,0.04778647099061111,0.08356578928148434,0.06336088154269973,0.047786470009298566,0.08356579093305766,6.189862833089009e-6
Cilta-cel,4,50,328,0.15243902439024393,0.1174632273319587,0.19552194168386822,0.15243902439844154,0.11746322901135253,0.19552193915566327,6.189862833089009e-6
