meta_object$subgroup.levels,studies,event,patient_sum,PointEst.fix,lower.fix,upper.fix,PointEst.ran,lower.ran,upper.ran,p.ran
CT,9,70,966,0.07246376819067556,0.0577210679066779,0.09060985373821824,0.06773882554775044,0.044131923810352164,0.10261779547348146,0.5773512106368603
RW,22,350,4840,0.07231404959048579,0.06534812339982565,0.07995899930311481,0.05883596106624095,0.045443132799028785,0.07586218362015033,0.5773512106368603
