meta_object$subgroup.levels,studies,event,patient_sum,PointEst.fix,lower.fix,upper.fix,PointEst.ran,lower.ran,upper.ran,p.ran
CT,18,167,2015,0.08287841192091962,0.07160878026397824,0.09573873494727088,0.07797898198658047,0.059422363858641115,0.10170392342740608,0.22375325146703273
RW,34,407,5589,0.07282161388745328,0.06629614047600424,0.07993439712335793,0.06323540391987585,0.05156652655071125,0.07732951383180567,0.22375325146703273
