meta_object$subgroup.levels,studies,event,patient_sum,PointEst.fix,lower.fix,upper.fix,PointEst.ran,lower.ran,upper.ran,p.ran
Liso-cel,3,16,422,0.03791469194391576,0.023354921949598203,0.06098443898194208,0.03791469194315483,0.02335488619859169,0.06098452873597514,0.003935404198596263
Axi-cel,16,279,3230,0.08637770897845161,0.07716894109918111,0.09657038689339197,0.0738769247831186,0.05747388393766476,0.09449205993970161,0.003935404198596263
Tisa-cel,8,38,926,0.04103671706270106,0.03000097680636495,0.05589797711839118,0.041036717062639366,0.030000968911052337,0.055897991436074324,0.003935404198596263
