meta_object$subgroup.levels,studies,event,patient_sum,PointEst.fix,lower.fix,upper.fix,PointEst.ran,lower.ran,upper.ran,p.ran
below median FU for MM,7,33,561,0.05882352941176483,0.04211696200059168,0.08159261425901931,0.058823529519704924,0.04211696075504144,0.08159261686476212,0.029864909454515996
above median FU for MM,6,70,632,0.11075949367122949,0.08855334135713257,0.1376929459905731,0.10594045750285304,0.0697407103867333,0.15774391294234702,0.029864909454515996
